contents,postimes,likes,comments,shares
2021年2月12日，香港電台表示根據中國國家廣播電視總局不允許BBC世界新聞台繼續在中國境內落地的決定，香港電台將不會再轉播《BBC 時事一周》。歡迎聽眾繼續透過以下渠道支持本節目：1）訂閱 BBC News 中文的YouTube頻道，節目將於YouTube同步直播：http://bit.ly/1wkHh5T…… 查看更多,2月13日,4187,717,993
歐盟稱，外國記者「工作受到持續騷擾和阻撓，正被趕出中國」，並敦促中國遵守其國際法律義務，確保言論和新聞自由。,4 小時,245,199,11
【一周熱點回顧】英國央行公布了最新版50英鎊紙幣設計，上面的新面孔是數學奇才艾倫·圖靈（Alan Turing）。這版紙幣將在今年6月23日，即圖靈生日當天發行。艾倫·圖靈究竟有怎樣的不平凡人生？,5 小時,175,19,9
【一周熱點回顧】來自貧民窟的他，因為熱愛舞蹈，跳出了自己的小天地，環遊歐洲，還為法國總統馬克龍表演過！,7 小時,72,11,4
【一周熱點回顧】據香港媒體引述香港無綫電視（TVB）表示，不會轉播4月26日舉行的奧斯卡金像獎頒獎禮。無綫外事務科強調，沒有本年奧斯卡金像獎的播映權，而不商討播映權是「純商業考慮」。今年，由挪威導演漢默（Anders Hammer）執導的《不割席》，以香港2019年「反送中」示威為題材，入圍奧斯卡最佳紀錄短片。中國媒體在報道奧斯卡提名名單時，大多沒有提及這部電影與香港示威的關連，並在完整提名名單中，把影片另稱作《不要分裂》。相關報道：…… 查看更多,11 小時,354,184,14
 #BBC時事一周 粵語廣播本周內容（香港時間4月4日）：  https://bbc.in/3dxxFNb | https://youtu.be/MGq-7ed9k74 世界衛生組織公布新冠病毒溯源報告 台灣火車出軌死傷慘重…… 查看更多,12 小時,17,2,2
【一周熱點回顧】「他（習近平）骨子裡沒有一點民主」。美國總統拜登舉行上任後首場記者會，重提自己時任美國副總統時，曾跟時任中國國家副主席的習近平通話長達幾小時，當時已經了解到習近平不相信民主有未來。他還說，知道中國的目標是成為全球最領先、最富庶、最強大的國家，「那不會在我治下發生，因為美國會繼續增長和擴大」。,13 小時,216,68,6
俄羅斯向德國輸送天然氣工程促進還是削弱了歐洲的能源安全？「北溪2號」項目爭論涉及地緣政治和商業利益的不同考慮。,22 小時,74,25,8
【一周熱點回顧】中國科技公司小米宣佈投放100億美元發展電動車業務，引起市場熱議之外，其發表的公司新標誌，也在中國大陸網絡上掀起廣泛討論。小米創辦人雷軍在產品發佈會上，花了20分鐘介紹新標誌。從表面上看，該標誌（圖左）跟舊版（圖右）極為相似，只是四角變成曲線。該公司指，新標誌由日本設計中心（NDC）董事長、武藏野美術大學教授原研哉設計。…… 查看更多,昨天下午5:00,269,94,13
【一周熱點回顧】「兒子，兒子！為何你聽不見我的呼喚？」她13歲的兒子在緬甸街頭玩耍時被射殺。她在喪禮上的哭聲震天，隨後全家人一起舉起「三指禮」高歌，呼喚變革。,昨天下午3:01,419,30,29
「我們沒有立場評論過去的事件。對我們來說，重要的是以尊重和公正的方式聚光和報道歷史事件。」,昨天下午2:02,637,209,56
